chapter,question,context
2,Which of the following statements is not true?," Among whites , Hispanic whites received 60 percent inferior care of measures compared to non-Hispanic whites ( Agency for Health Research and Quality 2010 ) .   When considering access to care , the figures were comparable .  Health by Race and Ethnicity When looking at the social epidemiology of the United States , it is hard to miss the disparities among races .  The discrepancy between black and white Americans shows the gap clearly ; IN 2008 , the average life expectancy for white males was approximately five years longer than for black males : 75.9 compared to 70.9 .   An even stronger disparity was found in 2007 : the infant mortality rate for blacks was nearly twice that of whites at 13.2 compared to 5.6 per 1,000 live births ( U . S . Census Bureau 2011 ) .   According to a report from the Henry J . Kaiser Foundation ( 2007 ) , African Americans also have higher incidence of several other diseases and causes of mortality , from cancer to heart disease to diabetes .  In a similar vein , it is important to note that ethnic minorities , including Mexican Americans and Native Americans , also have higher rates of these diseases and causes of mortality than whites .  Globally , the rate of mortality for children under five was 60 per 1,000 live births .   In low-income countries , however , that rate is almost double at 117 per 1,000 live births .  In high-income countries , that rate is significantly lower than seven per 1,000 live births ."
2,The process by which aspects of life that were considered bad or deviant are redefined as sickness and needing medical attention to remedy is called:,"We can see an example of institutionalized sexism in the way that women are more likely than men to be diagnosed with certain kinds of mental disorders . Psychologist Dana Becker notes that 75 percent of all diagnoses of Borderline Personality Disorder ( BPD ) are for women according to the Diagnostic Statistical Manual of Mental Disorders . This diagnosis is characterized by instability of identity , of mood , and of behavior , and Becker argues that it has been used as a catch-all diagnosis for too many women . She further decries the pejorative connotation of the diagnosis , saying that it predisposes many people , both within and outside of the profession of psychotherapy , against women who have been so diagnosed ( Becker ) . Many critics also point to the medicalization of women ’ s issues as an example of institutionalized sexism .  Medicalization refers to the process by which previously normal aspects of life are redefined as deviant and needing medical attention to remedy .  Historically and contemporaneously , many aspects of women ’ s lives have been medicalized , including menstruation , pre-menstrual syndrome , pregnancy , childbirth , and menopause . The medicalization of pregnancy and childbirth has been particularly contentious in recent decades , with many women opting against the medical process and choosing a more natural childbirth . Fox and Worts ( 1999 ) find that all women experience pain and anxiety during the birth process , but that social support relieves both as effectively as medical support . In other words , medical interventions are no more effective than social ones at helping with the difficulties of pain and childbirth . Fox and Worts further found that women with supportive partners ended up with less medical intervention and fewer cases of postpartum depression . Of course , access to quality birth care outside of the standard medical models may not be readily available to women of all social classes ."
2,What are the most commonly diagnosed mental disorders in the United States?," According to the National Institute of Mental Health ( NIMH ) , the most common mental disorders in the United States are anxiety disorders .  Almost 18 percent of American adults are likely to be affected in a single year , and 28 percent are likely to be affected over the course of a lifetime ( National Institute of Mental Health 2005 ) . It is important to distinguish between occasional feelings of anxiety and a true anxiety disorder . Anxiety is a normal reaction to stress that we all feel at some point , but anxiety disorders are feelings of worry and fearfulness that last for months at a time . Anxiety disorders include obsessive compulsive disorder ( OCD ) , panic disorders , posttraumatic stress disorder ( PTSD ) , and both social and specific phobias ."
2,The high unemployment rate among the disabled may be a result of ____________.," As discussed in the section on mental health , many mental health disorders can be debilitating , affecting a person ’ s ability to cope with everyday life .   This can affect social status , housing , and especially employment .   According to the Bureau of Labor Statistics ( 2011 ) , people with a disability had a higher rate of unemployment thaN people without a disability in 2010 : 14.8 percent to 9.4 percent .  This unemployment rate refers only to people actively looking for a job . In fact , eight out of 10 people with a disability are considered “ out of the labor force ; ” that is , they do not have jobs and are not looking for them . The combination of this population and the high unemployment rate leads to an employment-population ratio of 18.6 percent among those with disabilities . The employment-population ratio for people without disabilities was much higher , at 63.5 percent ( U . S . Bureau of Labor Statistics 2011 ) .  People with disabilities can be stigmatized by their illness .   Stigmatization means that their identity is spoiled ; they are labeled as different , discriminated against , and sometimes even shunned .  They are labeled ( as an interactionist might point out ) and ascribed a master status ( as a functionalist might note ) , becoming “ the blind girl ” or “ the boy in the wheelchair ” instead of someone afforded a full identity by society .  This can be especially true for people who are disabled due to mental illness or disorders . "
2,Which public health care system offers insurance primarily to people over 65?,"United States health care coverage can broadly be divided into two main categories : public health care ( government-funded ) and private health care ( privately funded ) .  The two main publicly funded health care programs are Medicare , which provides health services to people over 65 years old as well as people who meet other standards for disability , and Medicaid , which provides services to people with very low incomes who meet other eligibility requirements .  Other government-funded programs include service agencies focused on Native Americans ( the Indian Health Service ) , Veterans ( the Veterans Health Administration ) , and children ( the Children ’ s Health Insurance Program ) . A controversial issue in 2011 was a proposed constitutional amendment requiring a balanced federal budget , which would almost certainly require billions of dollars in cuts to these programs . As discussed below , the United States already has a significant problem with lack of health care coverage for many individuals ; if these budget cuts pass , the already heavily burdened programs are sure to suffer , and so are the people they serve ( Kogan 2011 ) ."
2,Which program is an example of socialized medicine?,"One critique of the Patient Protection and Affordable Care Act is that it will create a system of socialized medicine , a term that for many Americans has negative connotations lingering from the Cold War era and earlier .  Under a socialized medicine system , the government owns and runs the system .  It employs the doctors , nurses , and other staff , and it owns and runs the hospitals ( Klein 2009 ) . The best example of socialized medicine is in Great Britain , where the National Health System ( NHS ) gives free health care to all its residents .  And despite some Americans ’ knee-jerk reaction to any health care changes that hint of socialism , the United States has one socialized system with the Veterans Health Administration . "
2,What will the individual mandate provision of the 2010 U.S. health care reform do?," Health care in the United States is a complex issue , and it will only get more so with the continued enactment of the Patient Protection and Affordable Care Act ( PPACA ) of 2010 .  This Act , sometimes called “ ObamaCare ” for its most noted advocate , President Barack Obama , represents large-scale federal reform of the United States ’ health care system . Most of the provisions of the Act will take effect by 2014 , but some were effective immediately on passage . The PPACA aims to address some of the biggest flaws of the current health care system . It expands eligibility to programs like Medicaid and CHIP , helps guarantee insurance coverage for people with pre-existing conditions , and establishes regulations to make sure that the premium funds collected by insurers and care providers go directly to medical care .  It also includes an individual mandate , which requires everyone to have insurance coverage by 2014 or pay a penalty .  A series of provisions , including significant subsidies , are intended to address the discrepancies in income that are currently contributing to high rates of uninsurance and underinsurance ."
2,Great Britain’s health care system is an example of ______________,"One critique of the Patient Protection and Affordable Care Act is that it will create a system of socialized medicine , a term that for many Americans has negative connotations lingering from the Cold War era and earlier . Under a socialized medicine system , the government owns and runs the system . It employs the doctors , nurses , and other staff , and it owns and runs the hospitals ( Klein 2009 ) .  The best example of socialized medicine is in Great Britain , where the National Health System ( NHS ) gives free health care to all its residents .  And despite some Americans ’ knee-jerk reaction to any health care changes that hint of socialism , the United States has one socialized system with the Veterans Health Administration ."
2,What group created the Millennium Development Goals?," WHO , which is the health arm of the United Nations , set eight Millennium Development Goals ( MDGs ) in 2000 with the aim of reaching these goals by 2015 .  Some of the goals deal more broadly with the socioeconomic factors that influence health , but MDGs 4 , 5 , and 6 all relate specifically to large-scale health concerns , the likes of which most Americans will never contemplate . MDG 4 is to reduce child mortality , MDG 5 aims to improve maternal health , and MDG 6 strives to combat HIV / AIDS , malaria , and other diseases . The goals may not seem particularly dramatic , but the numbers behind them show how serious they are . One of the biggest contributors to medical issues in low-income countries is the lack of access to clean water and basic sanitation resources . According to a 2011 UNICEF report , almost half of the developing world ’ s population lacks improved sanitation facilities .  The World Health Organization ( WHO ) tracks health-related data for 193 countries .  In their 2011 World Health Statistics report , they document the following statistics :"
2,Which of the following is not part of the rights and responsibilities of a sick person under the functionalist perspective?," The responsibility of the sick person is twofold : to try to get well and to seek technically competent help from a physician .  If the sick person stays ill longer than is appropriate ( malingers ) , she may be stigmatized .  According to Parsons , the sick person has a specific role with both rights and responsibilities .   To start with , she has not chosen to be sick and should not be treated as responsible for her condition .   The sick person also has the right of being exempt from normal social roles ; she is not required to fulfill the obligation of a well person and can avoid her normal responsibilities without censure .  However , this exemption is temporary and relative to the severity of the illness . The exemption also requires legitimation by a physician ; that is , a physician must certify that the illness is genuine ."
2,"The class, race, and gender inequalities in our healthcare system support the _____________ perspective.","Sociologists may also understand these issues more fully by considering them through one of the main theoretical perspectives of the discipline . The functionalist perspective is a macroanalytical perspective that looks at the big picture , focusing on the way that all aspects of society are integral to the continued health and viability of the whole . For those working within the functionalist perspective , the focus is on how healthy individuals have the most to contribute to the stability of society . Functionalists might study the most efficient way to restore “ sick ” individuals to a healthy state .  The conflict perspective is another macroanalytical perspective that focuses on the creation and reproduction of inequality .   Someone applying the conflict perspective might focus on inequalities within the health system itself , looking at disparities in race , ethnicity , gender , and age .  Someone applying the interactionist perspective to health might focus on how people understand their health , and how their health affects their relationships with the people in their lives ."
