chapter,question,context
6,all the populations that live together in a particular location are a(n),All of the populations living together in the same area make up a community.
6,abiotic factors in an ecosystem include,"Abiotic factors also include environmental features that are not materials or living things, such as living space and the right temperature range."
6,a habitat is,An organisms habitat is where it lives .
6,important characteristics of a habitat include,"The important characteristics of a habitat include climate, the availability of food, water, and other resources, and other factors, such as weather."
7,blizzards are most common in winter when the jet stream has,"Bliz- zards are most common in winter, when the jet stream has traveled south and a cold, northern air mass comes into contact with a warmer, semitropical air mass ."
7,blizzards are usually part of a ___________________.,"Blizzards happen across the middle latitudes and toward the poles, usually as part of a mid-latitude cyclone."
7,"buffalo and rochester, new york are the snowiest metropolitan areas in the united states because they are downwind from the",URL:  Frigid air travels across the Great Lakes and dumps lake-effect snow on the lee- ward side.
7,blizzards can produce which of the following?,Blizzards can also produce sleet or freezing rain.
7,very strong winds develop in blizzards because of the,The very strong winds develop because of the pressure gradient between the low-pressure storm and the higher pressure west of the storm.
7,a blizzard is different from a snowstorm because it,Snow so heavy that visibility is 2/5 km (1/4 mile) or less for at least three hours; near zero visibility for a severe blizzard.
8,"the study of earths solid material and structures, and the processes that create them.",Geology is the study of the Earths solid material and structures and the processes that create them.
8,the study of everything in about 70% of earths surface.,"Oceanography is the study of everything in the ocean environment, which covers about 70% of the Earths surface."
8,the study of the effects of people on the environment.,"Environmental scientists study the effects people have on their environment, including the landscape, atmosphere, water, and living things."
8,what instruments or devices do astronomers use to study space?,Astronomers use telescopes to see things far beyond what the human eye can see.
9,a ________________ measures air pressure.,Meteorologists use barometers to measure air pressure.
9,a weather forecast takes into account,"Radiosondes measure atmospheric characteristics, such as temperature, pressure, and humidity as they move through the air."
9,scientists that collect and study the weather.,Meteorologists use barometers to measure air pressure.
9,radar images storms by,A transmitter sends out radio waves that bounce off the nearest object and then return to a receiver.
9,a radiosonde,"Radiosondes measure atmospheric characteristics, such as temperature, pressure, and humidity as they move through the air."
9,the advantage of satellites in weather monitoring is,"Weather satellites are the best way to monitor large-scale systems, such as storms."
10,a theory,A theory must be constantly tested and revised.
10,an explanation that always applies under the same circumstances is a,A law always applies under the right circumstances.
10,"after many experiments and evidence that supports a hypothesis, with no evidence to oppose it, the hypothesis becomes a",A theory has no major inconsistencies.
10,a theory can,Scientists can use a theory to offer reliable explanations and make accurate predictions.
11,"compared to maritime climate, continental climate has","A continental climate is more extreme, with greater temperature differences between day and night and between summer and winter."
11,this ocean current affects the climate of northern europe.,The important effect of the Gulf Stream on the climate of northern Europe is described in the chapter Water on Earth.
12,"when nitrous oxide levels increase in the atmosphere, this plant may do well",Lichen get a lot of their nutrients from the air so they may be good indicators of changes in the atmosphere such as increased nitrogen.
12,if you see orange colored smog with an unpleasant odor you know that there is __________ pollution.,"NO2 is a toxic, orange-brown colored gas that gives air a distinctive orange color and an unpleasant odor."
12,ozone can change an ecosystem by,"If a forest contains ozone-sensitive trees, they may die out and be replaced by species that are not as easily harmed."
13,what are the essential theories of earth science?,The theory of plate tectonics will be explored in detail in later concepts.
13,which earth science theory explains the geological activity?,"Plate tectonics explains why much geological activity happens where it does, why many natural resources are found where they are, and can be used to determine what was happening long ago in Earths history."
13,global warming is studied under this theory.,The theory of climate change is a much newer theory than the previous two.
13,the mechanism for evolution where traits are favored causing change in species.,People often refer to natural selection as the survival of the fittest.
13,"before plate tectonics, people thought that animals and plants found on different continents spread by ___________.","Before plate tectonics theory was accepted, people thought that fossil organisms had spread around using land bridges."
13,a change through time where the genetic make up of populations of organisms result in new species.,"Evolution has a mechanism, called natural selection."
14,"during a mass extinction,",But sometimes large numbers of species go extinct in a short amount of time.
14,many new species evolve to fill available niches during a(n),"For example, after the extinction of the dinosaurs, mammals underwent adaptive radiation and became the dominant life form."
15,the global winds blow in the direction of,"Air blowing at the base of the circulation cells, from high pressure to low pressure, creates the global wind belts."
15,sinking air,Air sinking in high pressure areas causes evaporation; these regions are usually dry.
15,the variable weather of much of north america and europe is caused by,"At this low pressure zone, relatively warm, moist air of the Ferrell Cell runs into relatively cold, dry air of the Polar cell."
15,the jet stream (the one meteorologists talk about),Jet streams form where there is a large temperature difference between two air masses.
15,"air in the atmospheric circulation cells should blow north to south or south to north, but it doesnt because","In the Hadley cell air should move north to south, but it is deflected to the right by Coriolis."
16,extinctions of pleistocene megafauna were caused by,Some may have been driven to extinction by human activities.
17,the climate during the mesozoic was ideal for reptiles being mostly,"Climate alternated between cool, warm, and tropical, but overall the planet was much warmer than today."
17,at the beginning of the mesozoic.,"On land, seed plants and trees diversified and spread widely."
17,evidence that at least some dinosaurs were endotherms includes,Some dinosaurs lived in polar regions where animals that needed sunlight for warmth could not survive in winter.
17,mammals appeared near the end of,"Mammals appeared near the end of the Triassic, but the Mesozoic is known as the age of the reptiles."
17,the mass extinction that killed the dinosaurs was due to an asteroid impact that,"The impact kicked up a massive dust cloud, and when the particles rained back onto the surface they heated the atmosphere until it became as hot as a kitchen oven."
17,the amniote egg was essential for the spread of reptiles because it allowed,"Their thick skin keeps them from drying out, and the evolution of the amniote egg allowed them to lay their eggs on dry land."
18,which organisms originated in the paleozoic?,"Arthropods, fish, amphibians and reptiles all originated in the Paleozoic."
18,during which time period did simple plants begin colonizing the land?,"Simple plants began to colonize the land during the Ordovician, but land plants really flourished when seeds evolved during the Carboniferous ."
18,"most of the fossil fuels we burn today originated in __________ swamps, dominated by __________ plants.","Simple plants began to colonize the land during the Ordovician, but land plants really flourished when seeds evolved during the Carboniferous ."
18,for land plants to flourish __________ needed to evolve.,"Simple plants began to colonize the land during the Ordovician, but land plants really flourished when seeds evolved during the Carboniferous ."
18,the largest increase in diversity and number of living things in earth history was the __________ at the beginning of the __________.,The Cambrian began with the most rapid and far-reaching evolution of life forms ever in Earths history.
18,in the end-of-permian mass extinction,Marine species with calcium carbonate shells and skeletons suffered worst.
19,hurricanes are,They are cyclones that form in the tropics and so they are also called tropical cyclones.
19,for an atlantic hurricane to form and grow,Hurricanes arise in the tropical latitudes (between 10o and 25o N) in summer and autumn when sea surface temper- ature are 28o C (82o F) or higher.
19,how long do hurricanes typically last?,Hurricanes typically last for 5 to 10 days.
19,hurricanes will die when they,At that time the hurricanes latent heat source shut downs and the storm weakens.
20,mid-latitude cyclones form at __________ when the temperature difference between two air masses is __________.,Mid-latitude cyclones form at the polar front when the temperature difference between two air masses is large.
20,"in new england and the mid-atlantic , __________ mid-latitude cyclones called __________, are common.","Mid-latitude cyclones are especially fierce in the mid-Atlantic and New England states, where they are called noreasters because they come from the northeast."
20,mid-latitude cyclones form when,These air masses blow past each other in opposite directions.
20,as the winds in a cyclone rotate,"The swirling air rises and cools, creating clouds and precipitation."
20,"in 1993, a noreaster hit the entire eastern seaboard of the united states called the",The 1993 Storm of the Century was a noreaster that covered the entire eastern seaboard of the United States.
21,the enormous number of species is due to,The tremendous variety of creatures is due to the tremendous numbers of habitats that organisms have evolved to fill.
21,which of the following is true?,There are more than 1 million species of plants and animals known to be currently alive on Earth  and many millions more that have not been discovered yet.
21,adaptations,Organisms have special features that help them avoid being eaten.
21,reindeer have sponge-like hoofs to walk on snowy ground without slipping. this is an example of,Many adaptations protect organisms from the external environment .
22,what type of model is used to predict the weather?,"In Numerical Weather Prediction (NWP), atmospheric data from many sources are plugged into supercomputers running complex mathematical models ."
22,which type of scientists predict weather?,Meteorologists can use these results to give much more accurate weather forecasts and climate predictions.
22,an accurate weather forecast,"If the proposed track of a hurricane can be predicted, people can try to secure their property and then evacuate ."
23,"when you are in an airplane, you mostly feel the increase and decrease of altitude in this part of your body?",Thats what makes your ears pop when you change altitude.
23,your ears pop when you ascend in an airplane because,Eventually the air molecules inside your ear suddenly move through a small tube in your ear to equalize the pressure.
23,people who climb tall mountains set up camp at higher and higher elevations to get used to the,"Everest, have to set up camp at different elevations to let their bodies get used to the decreased air density ."
23,why is the air denser the closer you are to sea level?,"The pull of gravity is stronger closer to the center, at sea level."
24,herbivores may eat,There are many types of consumers: Herbivores eat producers directly.
24,which is a type of scavenger?,"Scavengers are animals, such as vultures and hyenas, that eat organisms that are already dead."
24,the pollinator-plant relationship is an example of mutualism because,URL:  (a) The pollinator gets food; the plants pollen gets caught in the birds feathers so it is spread to far away flowers.
24,symbiosis is,Some relationships between species are beneficial to at least one of the two interacting species.
25,what will happen after a paper is published?,"Once it is published, other scientists incorporate the results into their own research."
25,scientists who are part of a peer review can,The scientists will then recommend or deny the paper for publication.
25,"although a study may take place in a single laboratory, a scientist must present his/her work to:","Although a study may take place in a single laboratory, a scientist must present her work to the community of scientists in her field."
26,__________________ is factual information not subject to bias.,Data is factual information that is not subject to opinion or bias.
26,many scientific studies have found that colds are caused by viruses. what is this?,This is a fact made from observation.
26,which one of these statements is a fact?,Bill Gates is the wealthiest man in the United States; thats a fact.
26,which one of these statements is an observation?,Susan has long hair.
27,a good scientific question has to be ___________________.,Scientific questions must be testable.
27,people using the scientific method usually start with,Create a hypothesis.
27,a scientific question can be based on,The question is based on one or more observations or on data from a previous experiment.
28,what separates the layers in the atmosphere?,A change in temperature with distance is called a temperature gradient.
28,why does warm air rise?,"When gas molecules are warm, they move vigorously and take up more space."
28,the temperature gradient in each layer of the atmosphere is determined by,The temperature gradient in each layer is determined by the heat source of the layer (See opening image).
29,tornadoes form,Tornadoes form at the front of severe thunderstorms.
29,the fujita scale assigns a value to a tornado based on,"The intensity of tornadoes is measured on the Fujita Scale (see Table 1.1), which assigns a value based on wind speed and damage."
29,what type of cloud does a tornado stem from?,"This forms a tornado, a funnel-shaped, whirling column of air extending downward from a cumulonimbus cloud."
29,"in the united states, tornadoes are most common where the ________________ air masses meet in the spring.",Lines of these thunderstorms form in the spring where where maritime tropical (mT) and continental polar (cP) air masses meet.
30,isobars are line of equal average air pressure at,Isobars are lines of equal average air pressure at sea level .
30,isotachs can be used to locate,The highest wind speeds can be used to locate the jet stream.
30,"where isotherms indicate a steep gradient, there is likely to be",Isotherms show temperature gradients and can indicate the location of a front.
30,"on a weather map, a large l with isobars circling around it, some of which have a pressure value is",Closed isobars represent the locations of high and low pressure cells.
31,the weather in a location is related to,A locations weather depends on: air temperature air pressure fog humidity cloud cover precipitation wind speed and direction All of these characteristics are directly related to the amount of energy that is in the system and where that energy is.
31,the climate of a location is determined by,"A locations climate can be described by its air temperature, humidity, wind speed and direction, and the type, quantity, and frequency of precipitation."
32,Evolution by natural selection is an example of a scientific,"In science, a theory is much more than that."
32,Science is a process that includes,A scientist tries to find answers using evidence and logic.
32,"To gain the status of a scientific theory, an idea must be",Scientific theories are tested and confirmed repeatedly.
32,A scientific theory must be,Scientific theories are tested and confirmed repeatedly.
32,Scientists must have an open mind because scientific knowledge is always,Scientific knowledge is always evolving as new evidence comes in.
33,How many species of living things are alive on Earth today?,"Life is complex, and there are millions of species alive today."
33,The type of life scientist who studies fossils and evolution is a(n),"Field Ecology Focus of Study interactions of organisms with each other and their environment Botany Zoology plants animals Microbiology microorganisms such as bacteria Entomology insects Cell biology cells of living things Physiology tissues and organs and how they function genes, traits, and inheritance Genetics Epidemiology Paleontology causes of diseases and how they spread fossils and evolution Learn about a Career in this Field"
33,Microbiology is the study of organisms such as,"Field Ecology Focus of Study interactions of organisms with each other and their environment Botany Zoology plants animals Microbiology microorganisms such as bacteria Entomology insects Cell biology cells of living things Physiology tissues and organs and how they function genes, traits, and inheritance Genetics Epidemiology Paleontology causes of diseases and how they spread fossils and evolution Learn about a Career in this Field"
33,Theories basic to all of the life sciences include the,They are the cell theory and the theory of evolution by natural selection.
33,An example of basic science research is,An example of basic research in life science is studying how yeast cells grow and divide.
33,The aim of applied scientific research is best stated as,The aim of applied science is to find solutions to practical problems.
34,A scientific investigation follows a general plan referred to as the scientific,The scientific method is a series of logical steps for testing a possible answer to a question.
34,What do you call a series of logical steps for testing a hypothesis?,The scientific method is a series of logical steps for testing a possible answer to a question.
34,Observations can be made with the sense(s) of,"The senses include sight, hearing, touch, smell, and taste."
34,A scientific hypothesis must be,"Testable means that if the hypothesis is false, its possible to find evidence showing that its false."
34,Steps of a scientific investigation always include,Communicate results.
34,A hypothesis is testable if you can find evidence to prove that it is,"Testable means that if the hypothesis is false, its possible to find evidence showing that its false."
34,Steps of the scientific method may be,"Steps may be followed in a somewhat different order, for example, or steps may be repeated or skipped."
34,"In a scientific experiment, a prediction is made based on the","A hypothesis is a potential, testable answer to a scientific question."
34,The independent variable in a scientific experiment is tested to see how it affects the,Experimental controls are other factors that might affect the dependent variable.
34,A scientific investigation generally begins with,The steps of the scientific method are described in greater detail below.
34,"If the results of an experiment agree with the predicted outcome, they","If so, they provide support for the hypothesis."
35,"To be classified as an animal, an organism must have",All animals also have specialized cells that can do different jobs.
35,All animals are,Animals are multicellular eukaryotes in the Animal Kingdom.
35,A caterpillar is a(n),"For example, a caterpillar is the larval form of an insect that becomes a butterfly as an adult."
35,Animal cells can take on a variety of shapes because they lack,"Unlike the cells of eukaryotes in the Plant and Fungus Kingdoms, animal cells lack a cell wall."
35,Examples of organisms placed in the Animal Kingdom include,"Phylum Porifera Animals It Includes sponges Cnidaria jellyfish, corals Platyhelminthes flatworms, tapeworms, flukes Nematoda roundworms Mollusca snails, clams, squids Phylum Annelida Animals It Includes earthworms, leeches, marine worms Arthropoda insects, spiders, crustaceans, cen- tipedes Echinodermata sea stars, sea urchins, sand dollars, sea cucumbers Chordata tunicates, lancelets, fish, amphib- ians, reptiles, birds, mammals One basic way to divide animals is between invertebrates and vertebrates."
35,All animals have,Animals are multicellular eukaryotes in the Animal Kingdom.
35,What can animals do that other eukaryotes cannot?,"All animals can move, at least during some stage of their life cycle."
35,Most animals have,Virtually all animals have internal digestion of food.
35,The function of nerve cells in animals is to,Its shape suits it for its function of sending nerve signals to other cells.
35,Which of the following stages are generally included in an animals life cycle?,The diploid zygote that forms develops into an embryo.
36,The largest primate is the,Both a mouse lemur and gorilla are pictured in Figure 14.19.
36,"For the majority of primates, the most important sense is",The importance of vision in primates is reflected by the bony socket that surrounds and protects the primate eye.
36,"Relative to other mammals, primates have",This is reflected in their relatively high level of intelligence and their ability to learn new behaviors.
36,The preferred food for almost all primates is,URL:  Fruit is the preferred food for almost all primates except humans.
36,Many primate traits are adaptations for life in the,Living in trees requires good grasping ability.
36,"Compared with other mammals, primates tend to have",Primates tend to have bigger brains for their body size than other mammals.
36,Most primate species are,"However, most primate species are omnivorous and consume a variety of plant and animal foods."
36,An opposable thumb can be brought into opposition with the,An opposable thumb can be brought into opposition with the other fingers of the same hand.
36,"Except for human beings, most modern primates live in","They live primarily in tropical rain forests of Central and South America, Africa, and South Asia."
37,Types of community interactions include,Predation is a relationship in which members of one species consume members of another species.
37,Which statement about predator-prey populations is true?,A predator-prey relationship tends to keep the populations of both species in balance.
37,An organism that captures and consumes organisms in another species is a,Predation is a relationship in which members of one species consume members of another species.
37,Males in the same population may fight each other for mates. This is an example of,Competition within a species is called intraspecific competition.
37,An example of a keystone species is,"Prairie dogs, pictured in Figure 23.10, are an example of a keystone species."
37,Which of the following organisms have a mutualistic relationship?,"In return, the clownfish helps the anemone catch food by attracting prey with its bright colors."
37,Competition can occur,"The resources might be food, water, or space."
37,What type of relationship exists between a clownfish and sea anemone?,An example of mutualism is pictured in Figure can inject poison in the anemones prey.
37,An example of a commensal relationship is the relationship between,An example is the relationship between birds called cattle egrets and cattle .
38,Matter that is recycled through ecosystems includes,Water and elements such as carbon and nitrogen that living things need are used over and over again.
38,The competitive exclusion principle applies to two different,One species might outcompete and replace the other.
38,Which statement about ecosystems is false?,Most ecosystems get energy from sunlight.
38,A species niche includes how the species,A major aspect of any niche is how the species obtains energy and matter.
38,Components of an ecosystem include,This role includes all the ways that the species interacts with the biotic and abiotic factors in the ecosystem.
38,Why can an ecosystem never be a closed system?,Ecosystems need a constant input of energy to supply the needs of their organisms.
38,A niche is the role in an ecosystem of a(n),Each species has a different and distinctive niche.
38,The features of a habitat depend mainly on,This role includes all the ways that the species interacts with the biotic and abiotic factors in the ecosystem.
38,A given habitat can have,A given habitat may contain many different species.
39,Primary succession occurs in an area where,"Generally, the area is nothing but bare rock."
39,Examples of pioneer species in primary succession include,They usually include bacteria and lichens .
39,Secondary succession may occur following,"For example, a forest fire might kill all the trees and other plants in a forest, leaving behind only charred wood and soil."
39,"In secondary succession, pioneer species may include","After a forest fire, for example, the pioneer species are plants such as grasses and fireweed."
39,Which events would most likely produce conditions where primary succession would occur?,"This type of environment could come about when: a landslide uncovers bare rock a glacier retreats and leaves behind bare rock lava flows from a volcano and hardens into bare rock  Secondary succession could result from a fire, flood, or human action such as farming."
39,"In primary succession, the first few species to colonize the area","Along with wind and water, the pioneer species help weather the rock and form soil."
39,"During primary succession, the first plants to live in the area","The first plants are usually grasses and other small plants that can grow in thin, poor soil."
39,Which statement applies to most ecosystems?,But continued change is probably more likely for real-world ecosystems.
39,Pioneer species,The first few species to colonize a disturbed area are called pioneer species.
40,Archaeans,Archaeans are prokaryotes in the Archaea Domain.
40,Water with extremes of heat and acidity is found,A hydrothermal vent is a crack on the ocean floor.
40,The type of archaean you would find in the environment in question 2 is a(n),"Hyperthermophiles are organisms that ""love"" heat."
40,Most archaeans are,"Like bacteria, archaeans are important decomposers."
40,Acidophiles live,"They live in very acidic environments, such as acid mine drainage."
40,Archaeans were first discovered,They were first discovered in extreme environments such as hot springs.
40,Archaeans that live around hydrothermal vents must be able to withstand extremely,"Boiling hot, highly acidic water pours out of the vent."
40,Where might you find archaeans called hyperthermophiles?,"For example, they can grow in hot springs and geysers."
40,Archaeans are known to,"In fact, archaeans are now known to live just about everywhere on Earth."
40,Conditions around hydrothermal vents,These conditions are like those on ancient Earth.
41,what determines the sex of developing crocodilians?,"The sex of developing crocodilians is determined by the temperature of the eggs during incubation, when eggs are kept warm before they hatch."
41,the function of the salivary glands on the tongue of the crocodilian is,"Crocodiles and gharials (large crocodilians with longer jaws) have salivary glands on their tongue, which are used to remove salt from their bodies."
41,which statement is associated with the crocodilian digestive system?,"Crocodilians have a flexible, semi-erect posture."
41,what statement best describes the sensory pits of crocodilians?,"Their jaws are covered with sensory pits, which hold bundles of nerve fibers that respond to the slightest disturbance in surface water."
41,features of the crocodilian body include,"All species of crocodilians have similar body structures, including an elongated snout, powerful jaws, muscular tail, large protective scales, streamlined body, and eyes and nostrils that are positioned on top of the head."
42,adaptations to live on land included,Eyelids that allow them to adapt to vision outside of the water.
42,where would you most likely find amphibians?,"They can be found in moist areas in forests, meadows and marshes."
42,which best describes an amphibian larva?,"Larval stage: When the egg hatches, the organism is legless, lives in water, and breathes with gills, resembling their evolutionary ancestors (fish)."
42,characteristics of amphibians include,A tail that disappears in adulthood (in frogs and toads).
42,which describes the transformation into an amphibian adult?,"During the larval stage, the amphibian slowly transforms into an adult by losing its gills and growing four legs."
43,what part of the flower contains the male gametophyte?,"The pollen, which is found at the top of the stamen, is the male gametophyte."
43,what part of the flower attracts a pollinator?,All of the petals  together are called the corolla.
43,what part of the flower becomes the seed(s)?,"When the ovules are fertilized, the ovule becomes the seed and the ovary becomes the fruit."
43,how does pollination occur?,Self-pollination: Pollen falls on the stigma of the same flower.
43,what part(s) of the flower compose the stamen?,Part sepals calyx corolla stamens filament anther carpel Definition The green outside of the flower.
44,which is a type of animal behavior?,Many other animals build nests for the same reason.
44,which animal behavior is probably most important to rabbits?,Rabbits run away from foxes and other predators to stay alive.
44,which of the following result from animal behaviors?,"Animals protect their young in other ways, as well."
44,"if genes control behaviors that increase fitness, how do the behaviors become more common in the species?",This occurs through the process of evolution by natural selection.
45,which of the following is not an example of communication with sight?,Frogs croak to attract female frogs as mates.
45,which is the method used by most birds to communicate?,Some animals communicate with sound.
45,what communication method allows ants to work together?,Some animals communicate with scent.
45,what is the most important way that humans communicate.,"Like other animals, humans communicate with one another."
46,what best describes a spore?,The spores develop into new protists.
46,which protists move using small tail-like projections that extend outward from the cell body?,The ciliates are protists that move by using cilia.
46,which protists move using a tail that rotates in a propeller-like fashion?,"Flagellates have long flagella, or tails."
46,which protists do not move?,"The sporozoans are protists that produce spores, such as the toxoplasma."
47,"what arachnid is characterized by a tail with six segments, the last bearing a pair of venom glands and a venom-injecting barb?","Subgroup Scorpiones Representative Organisms Scorpions Approximate Number of Species 2,000 Characteristics Characterized by a tail with six segments, the last bearing a pair of venom glands and a venom-injecting barb."
47,what arachnid is characterized by the ability to produce silk?,"Subgroup Representative Organisms Approximate Number of Species Characteristics Subgroup Araneae Representative Organisms Spiders Approximate Number of Species 40,000 Characteristics Found all over the world, ranging from tropics to the Arctic, some in extreme environments."
47,"what arachnid is characterized by vivid patterns of yellow, green, and black?","Subgroup Opiliones Representative Organisms Daddy-long-legs Approximate Number of Species 6,300 Characteristics Known for extremely long walking legs."
47,which statement is associated with scorpions?,Predators of small arthropods and insects.
47,which statement is associated with arachnids?,"Arachnids are mostly carnivorous, feeding on the pre-digested bodies of insects and other small animals."
48,"in addition to movement, arthropod appendages can be used for","They can be used for feeding, sensory reception, defense, and locomo- tion."
48,which best describes the arthropod skeleton?,"A hard exoskeleton made of chitin, which gives them physical protection and resistance to drying out."
48,which best describes gas exchange in insects?,"Insects and most other terrestrial species have a tracheal system, where air sacs lead into the body from pores in the exoskeleton."
48,what is hemolymph and how is it moved through the arthropod body?,A series of hearts move the hemolymph into the body cavity where it comes in direct contact with the tissues.
48,which statement is associated with crustaceans?,"These animals dominate the ocean, and usually have a set of anterior appendages that are modified as mandibles, which function in grasping, biting, and chewing food."
49,how to medically treat patients is an example of,"For example, medicine, and all that is known about how to treat patients, is applied science based on basic research ."
49,a doctor administering a drug to kill cancer cells is an example of,"For example, designing windmills to capture wind energy is applied science ."
50,which is an example of a polygamous bird?,The wild turkey is an example of a polygamous bird.
50,which bird does not use a nest?,"Emperor penguins do not have a nest at all; they sit on eggs to keep them warm before they hatch, a process called incubation."
50,which statement is associated with a bird egg?,"The hard-shelled eggs have a fluid-filled amnion, a thin membrane forming a closed sac around the embryo."
50,"in many birds species,","Usually, the parents take turns incubating the eggs."
50,which are examples of altricial birds?,"For example, the chicks of the Great Frigatebird receive intensive parental care for six months, or until they are ready to fly, and then take an additional 14 months of being fed by the parents ."
51,which is a defining characteristic of modern birds?,A beak with no teeth.
51,which is an important bird adaptation for flight?,A lightweight but strong skeleton.
51,what statement is associated with the bird digestive system?,"The digestive system of birds is unique, with a gizzard that contains swallowed stones for grinding food."
51,how are bird wings similar to an airplane wings?,Birds also have wings that function as an aerofoil.
52,ways to maintain a healthy blood pressure include,"These changes include getting enough exercise, limiting the amount of sodium (salt) in the diet, not being overweight, not drinking alcohol to excess, and not smoking."
52,which blood pressure is high?,"Hypertension is said to be present when a persons systolic blood pressure is always 140 or higher, and/or if the persons diastolic blood pressure is always 90 or higher."
52,foods that may lower blood pressure include,"Foods thought to lower blood pressure include skim milk, spinach, beans, bananas and dark chocolate."
52,symptoms of low blood pressure include,"Symptoms associated with low blood pressure include dizziness or lightheadedness, fainting, dehydration and unusual thirst, lack of concentration, blurred vision, nausea, and fatigue."
53,which term describes centipedes?,"Centipedes (""hundred feet"")  are fast, predatory carnivores, and venomous."
53,which myriapods protect their eggs from predators in a nest of hard soil?,Millipedes are not poisonous.
53,which myriapods have a poison gland within their fangs?,They lack the pair of fangs containing a poison gland that centipedes have.
53,which statement is true concerning pauropods?,They also possess unique forked antennae and a distinctive pattern of movement characterized by rapid burst of movement and frequent abrupt changes in direction.
53,which statement is true concerning the symphyla?,Symphylans resemble centipedes but are smaller and translucent.
54,which is an example of a urochordate?,"Urochordata: The tunicates, pictured in the introduction, make up this group."
54,which statement is true about pharyngeal slits?,"In most chordates, however, they are only present during the embryonic stages and serve no apparent purpose."
54,the distinguishing feature of vertebrates is,"In vertebrates, the notochord is typically smaller and surrounded by a backbone."
54,what is a feature of the dorsal hollow nerve cord?,"In some animals, the nerve cord develops into the brain and spinal cord."
54,which chordate has a notochord and nerve cord but no backbone?,"Cephalochordata: Cephalochordates include the lancelets , fish-like marine animals often found half-buried in the sand."
55,what do sea anemones and corals have in common?,"Polyp: The polyp is a cup-shaped body with the mouth facing upward, such as a sea anemone and coral."
55,what is a nematocyst?,Thats because cnidarians have stinging cells known as nematocysts.
55,which statement is true concerning corals?,"Their skeletons are made up of calcium carbonate, which is also known as limestone."
55,which best describes a portuguese man o' war?,The Portuguese Man o War  looks like a single organism but is actually a colony of polyps.
55,"cnidarians are among the simplest of the ""higher"" organisms. cnidarian organs include","Cnidarians do not have true organs, however."
56,competition between two kangaroos over a common mate would be,Intraspecific competition happens when members of the same species compete for the same resources.
56,"less suited species will adapt, move from the area or die out. this is known as","Looking at different types of competition, ecologists developed the competitive exclusion principle."
56,the evolution of the galapagos finches occurred because of,This is known as character displacement.
56,competition between a lion and a cheetah over prey would be,Interspecific competition happens when individuals of different species strive for a limited resource in the same area.
57,what type of organism will consume a producer?,Herbivores are animals that eat producers to get energy.
57,"humans, dogs and bears are examples of",Recall that producers make their own food through photosynthesis.
57,a carnivore may feed on,"Carnivores feed on animals, either herbivores or other carnivores."
57,which of the following depicts a carnivore?,"Carnivores feed on animals, either herbivores or other carnivores."
57,what provides producers with the necessary nutrients?,The stability of an ecosystem depends on the actions of the decomposers.
58,which of the following are parasitic insects?,"Parasitic insects, such as mosquitoes, lice, and bed bugs."
