chapter,questions,label
17,How are irregular galaxies deformed?,1
17,Types of galaxies include,1
17,Most elliptical galaxies have very little gas and dust because,1
17,Spiral galaxies have,1
17,The stars in an open cluster are mostly,1
17,Galaxies that do not have a clearly defined shape are called,1
17,Globular clusters,1
17,Scientists estimate that the Milky Way Galaxy contains about,1
17,Some astronomers think that at the center of our galaxy there is a,1
17,The iceberg is about,0
17,which of the following is true about the Milky Way?,0
17,The axis of the sagittal axis,0
17,the milky way galaxy contains,0
17,which statement is true about the universe?,0
17,Types of clusters include,0
17,what is the most likely explanation for the polar vortex?,0
17,if you get away from city lights and look up in the sky on a very clear,0
17,which of the following is a type of galaxie?,0
17,a galaxies is,0
17,which of the following is true about the stars in the equinox?,0
17,the stellar elliptical band is the,0
17,the asteroid cluster,0
17,stars clusters,0
17,Elliptical galaxies are,0
17,stars are closest to each other when they,0
17,M13 is,0
17,which of the following is true?,0
17,a galaxie with a central bulge has,0
17,which of the following is true?,0
17,The galaxy where we all live is,0
17,Open clusters,0
17,one orbit of the solar system takes about,0
17,neptune has,0
18,How many major rock types are in the rock cycle?,1
18,Each type of rock has a particular,1
18,"Two rocks have the same minerals, but of very different sizes. Which statement is true?",1
18,A rock that was once a different rock with a different mineral composition and/or texture is a(n),1
18,Major types of rocks include,1
18,Weathering and erosion occur because of the actions of,1
18,The rock called limestone forms when shells of sea organisms settle to the bottom of the water and gradually become pressed and cemented together. Which type of rock is limestone?,1
18,"If limestone is buried under the ground and placed under pressure until it becomes extremely hot, it changes to marble. The process in which marble forms from limestone is",1
18,which of the following is a process that can change rock?,0
18,The process of evaporation is,0
18,what happens to sediments when they are dropped?,0
18,a sedimentary rock can be,0
18,which of the following is a method of sedimentation?,0
18,which of the following is true about minerals?,0
18,rocks that are broken into smaller pieces are called,0
18,sediments that form in a river basin include,0
18,which of the following is a factor that affects the ocean?,0
18,rocks on earth,0
18,which of the following is true about rock?,0
18,"when a rock cools, it forms",0
18,rocks are made of,0
18,what is the process of a person becoming a person?,0
18,rocks are made of,0
18,the rock cycle describes how rocks change from one type to another.,0
19,Which term describes igneous rocks that crystallize above the crust,1
19,An igneous rock with large crystals cooled,1
19,Many mountain ranges are made of,1
19,which of the following is a type of intrusive rock?,0
19,which of the following is true about igneous rocks?,0
19,magma is,0
19,igneous rocks,0
19,dark colored minerals are found in rocks such as,0
19,which of the following is true about the surface?,0
20,Types of sediments that may make up sedimentary rocks include,1
20,What are solid particles that have been deposited on the Earths surface called?,1
20,A river deposits sediments when the water,1
20,Which of the following sedimentary rocks contains the smallest sediments?,1
20,The processes by which sediments harden into rock include,1
20,Clastic sedimentary rocks are classified by,1
20,"When sediments settle out of water, they form",1
20,Which sedimentary rock is formed of rounded stones that have been cemented together?,1
20,which of the following is a type of sedimentary rock?,0
20,which of the following is a characteristic of clastic sedimentary rocks?,0
20,Minerals fill in the spaces between,0
20,which of the following is a logical step in a pathogen?,0
20,which statement is true about sedimentary rocks?,0
20,"in breccia, the stones are",0
20,which of the following is a good idea?,0
20,Fossils are,0
20,sediments that are deposited in a rock bed may,0
20,sediments are deposited in,0
20,beaches and deserts collect large deposits of sand.,0
20,which statement about rock fragments is true?,0
20,what happens to sediments when they are compacted?,0
20,which of the following is a rock?,0
20,Shale is made mostly of,0
20,Silt is,0
21,Metamorphism changes rocks because,1
21,Regional metamorphism can be the result of,1
21,"During metamorphism, rocks may change",1
21,Metamorphism begins with,1
21,What type of change in rock is foliation?,1
21,A metamorphic rock may undergo foliation when pressure is,1
21,Slate is a metamorphic rock that is used for,1
21,Which of the following types of rocks can undergo metamorphism?,1
21,All of the following are metamorphic rocks except,1
21,the rock that forms the base of a volcano is,0
21,what happens when ionized particles move?,0
21,which of the following is a metamorphic rock?,0
21,"if pressure is exerted from one direction, the rock",0
21,which of the following is a metamorphic rock?,0
21,which of the following is a mineral used in sculptures?,0
21,which of the following is a type of foliation?,0
21,a rock may change chemically during metamorphism.,0
21,quartzite is,0
21,rocks are formed when,0
21,which of these is a common use of metals?,0
21,Metamorphic rocks start off as,0
21,"when rocks are squeezed, they form",0
21,which of the following is true about the minerals?,0
21,extreme pressure can lead to,0
21,which of the following is true about rock?,0
21,Hornfels is a rock with alternating bands of dark and light crystals.,0
21,Gneiss forms by,0
22,"To develop the theory of plate tectonics, scientists first had to accept the idea that",1
22,The idea of continental drift was first proposed in the early,1
22,Magnetic minerals in volcanic rock point to,1
22,Evidence for continental drift comes from ancient,1
22,Wegeners idea is correctly referred to as,1
22,Wegener observed that the Appalachian Mountains in eastern North America matched mountain ranges in,1
22,What was Wegeners continental drift idea?,1
22,What was Alfred Wegeners role in the development of the theory of plate tectonics?,1
22,"In Pangaea, the present continent of South America was attached to present-day",1
22,Wegener knew that,0
22,evidence of ancient glaciers is located,0
22,which of the following is true about the seeds of the ocean?,0
22,which of the following is true about the genus lystrosaurus?,0
22,fossils of the mesosaurus family are found in,0
22,fossils of icebergs have been found in,0
22,Wegener discovered ancient coal seams and coral reef fossils in areas that are much too cold,0
22,the mountain ranges that formed in the pacific ocean broke apart as the continents split,0
22,fossils of animals and plants are found on,0
22,Coral reefs are found only in warm water.,0
22,the fossils are separated because,0
22,Wegener concluded that the Alps formed as,0
22,"when lava cools, tiny iron-rich crystals line up with earths magnetic field",0
22,which of the following is true?,0
22,Glaciers are found in,0
22,the supercontinent,0
22,he thought that the rocks formed,0
22,evidence for the existence of a planet was best explained by,0
23,An intrusion forms when,1
23,A geyser forms when underground water is,1
23,which of the following is a method by which new land is created?,0
23,the ocean floor is made of,0
23,about how many of these people live in the united states?,0
23,geysers are created by,0
24,acid rain is caused by ___________ combining with __________ to form __________.,1
24,a ph scale has numbers from __________ to __________. neutral is the number __________.,1
24,natural rain has a ph of _________________.,1
24,a liquid with a ph of 2.0 is __________ more acidic than one with a ph of 4.0.,1
24,poor nations,1
24,how are songbirds affected by acid rain?,1
24,which of the following is true about regions with a lot of coal-burning power plants,0
24,acid rain in canada is,0
24,Acid fog has an average pH of around,0
24,the midwestern united states is a place where,0
24,pollutions are deposited in tall smokestacks.,0
24,acid rains can cause,0
24,which of the following is true about the pH of a fog?,0
24,which of the following is a measure of acidity?,0
24,Southeast Asia is experiencing more acid rain between nations as the region industrializes.,0
24,which of the following is true about the lake?,0
24,which of the following is a way to get a picture of a sand,0
24,which of the following is a risk factor for plant damage?,0
25,a mutation can be:,1
25,"a mutation that is harmful, may become beneficial if",1
25,an organism is most likely to evolve if its,1
25,what are adaptations?,0
25,mutations that are neutral remain in the population.,0
25,an explanation of how adaptations de-,0
25,which of the following is an example of evolution by natural selection?,0
25,"if a mutation is harmful, the variation will not remain in the population.",0
25,"in nebraska, the moose is",0
26,how have scientists tried to calculate the age of earth?,1
26,this material is thought to have formed when the solar system was forming __________________.,1
26,earths age is calculated using ages from,1
26,lord kelvin calculated earths age at 100 million years. what he didnt know was that,1
26,earth had to be older than 100 million years because of,1
26,the age of the earth was estimated to be,0
26,scientists date ancient rocks from,0
26,Earths age was,0
26,astronomer scott edwards calculated the temperature of a planet by,0
26,what did kelvin not know about radioactive decay?,0
26,which of the following is true about moon rocks?,0
26,"using radiometric dating, index fossils, and superposition, geologists have constructed a",0
26,scientists know that the earliest known human recorder was,0
26,radioactivity was discovered in,0
26,ages of fossils and rocks have become,0
27,which of these statements is true?,1
27,agriculture allowed people to,1
27,the industrial revolution was a major historical event that allowed ________________.,1
27,this scientist in the eighteenth century predicted that human population would continue to grow until we had exhausted our resources.,1
27,the green revolution has,1
27,human population is currently,1
27,the carrying capacity of the planet is,0
27,a single farmer could feed,0
27,which of the following is true about animals?,0
27,the population of the pacific region is expected to continue to grow because,0
27,the green revolution has increased the,0
27,the first mass produced product,0
27,the green revolution,0
27,humans would become victims of,0
27,what was the main occupation of the acacia?,0
27,the green revolution is credited with feeding,0
27,how have humans been able to manipulate our environment?,0
27,some regions will eventually run out of this water source.,0
28,air pollution became more widespread as fossil fuels began to be burned for energy during the,1
28,photochemical smog is common in southern california because of,1
28,passage of the clean air act of 1970 was a response to,1
28,the six important pollutants that were regulated in the clean air act of 1970 are,1
28,the air in the united states is,0
28,the 2012 olympics in london opened with,0
28,inversions,0
28,photochemical smog,0
28,which of the following is true about California cities?,0
28,smog is,0
28,the state of california has the right conditions for collecting pollutants including,0
28,pollutants include,0
29,an asteroid is,1
29,asteroids,1
29,the region where asteroids orbit between mars and jupiter is called _________.,1
29,near-earth asteroids can,1
29,scientists are interested in asteroids because many,1
29,asteroid gaspra,0
29,asteroids are,0
29,ice sheets are,0
29,asteroids are,0
29,which of the following is a major asteroid impact?,0
29,the DAWN mission,0
29,asteroids are discovered at a rate of about,0
29,which of the following is a name for the asteroids closest to jupiter,0
29,scientists are interested in asteroids because they are,0
29,which of the following is a way to get a picture of a sand,0
30,which factor affects resource availability?,1
30,nonrenewable resources,1
30,a nation with a lot of neodymium may __________ that resource to other countries that will __________ it.,1
30,which of the following is true?,0
30,which of the following is a potential source of economic and political trouble?,0
30,the topic of overconsumption was touched on in the chapter,0
30,pollution from discarded materials,0
30,pollution from discarded materials degrades,0
30,how does a resource value determine its abundance?,0
31,very flat areas that make up much of the ocean floor are,1
31,longest chain of mountains in the world.,1
31,the study of underwater depth of lake or ocean floor.,1
31,this is the transition from the land to the deep sea.,1
31,earths tallest mountain from base to top is,1
31,the deepest canyon in the ocean floor.,1
31,scientists come from all over to meet a research ship in a port.,0
31,the map in Figure 1.2 is a modern map with data from several decades.,0
31,the seafloor was first mapped by,0
31,earths tallest mountain is,0
31,scientists created bathymetric maps of the seafloor using,0
31,the first people to map the seafloor were,0
31,which of the following is true?,0
31,an oceanographer today,0
31,the r/v atlantis is a,0
31,which of the following is a way to get a picture of a sand,0
31,the distance from the research site to the site of the study can be,0
31,the transition from the land to the deep sea is called the,0
32,the big bang theory is a hypothesis that states that all matter and energy were at one time compressed into a small volume and then ____________.,1
32,"according to the big bang theory, the universe began",1
32,at the time of the big bang and just after,1
32,"during the immediate aftermath of the big bang, hydrogen nuclei collided and fused into __________ nuclei.",1
32,"in the early universe, matter was held together by which force?",1
32,which of the following is true?,1
32,"at the farthest edges of what scientists can see, there are",1
32,the most widely accepted cosmological explanation of how the universe formed is,0
32,why do scientists look back in time?,0
32,the heat from the big bang is,0
32,scientists cannot know what is the most likely outcome of the current climate change?,0
32,the big bang hypothesis,0
32,if you look at an image of galaxies at the far edge of what we,0
32,which of the following is a way to get a picture of a sand,0
32,the first neutral atoms that included electrons,0
32,the first few moments after the big bang,0
32,"after a few seconds,",0
32,what is the end result of a contracting universe?,0
32,the timeline of the,0
32,the background radiation in the universe is,0
32,which of the following is true?,0
33,most air pollutants come from,1
33,nearly half of all air pollution comes from,1
33,if fossil fuels like coal and petroleum are not pure they may,1
33,"when coal is burned, this highly toxic element can also be emitted.",1
33,burning forests increases greenhouse gases by releasing _____________.,1
33,volatile organic compounds enter the atmosphere by,1
33,slash-and-burn can lead to these pollutants:,1
33,what happens to the rainforest when it is slashed down?,0
33,nearly half of air pollution comes from,0
33,the power for nearly all manufacturing and other industries is,0
33,what is the process in which organic material decomposes?,0
33,which of the following is true about pollutants?,0
33,what is the most dangerous form of mercury?,0
33,which of the following is a chemical that is released by the atmosphere?,0
33,the biomass of a rainforest,0
33,the concentrations of methane in the bottom image are,0
33,which of the following is a gas that comes from vehicle exhaust?,0
33,pollution from biomass burning can,0
33,which of the following is a major component of industrial air pollution?,0
33,what is biomass?,0
33,which of the following is a disadvantage of fossil fuels?,0
34,amino acids are the building blocks of life because they create,1
34,proteins are important because they,1
34,early amino acids may have originated,1
34,amino acids are the building blocks of life because they create,0
34,which of the following is true about amino acids?,0
34,which of the following is true about amino acids?,0
34,what was the energy that created amino acids?,0
34,"To be considered alive, a molecule must",0
34,which of the following is a way to get a picture of a sand,0
35,"in chemical bonds,",1
35,an atom that shares one or more electrons with another atom is a(n),1
35,water is good at dissolving things because it exhibits,1
35,"in the compound methane,",1
35,when a lithium ion and a fluorine ion combine,1
35,which of the following is a ionic compound?,0
35,which of the following is a bonding mechanism?,0
35,which of the following is true?,0
35,which of the following is a type of chemical bond?,0
35,which of the following is a periodic table of the elements?,0
35,which type of bond shares one or more electrons with another atom?,0
35,which of the following is true about covalent bonds?,0
35,which of the following is true about hydrogen bonds?,0
35,which of the following is a compound with a net charge of +4?,0
35,which of the following is true about water?,0
36,this form of remediation involves injecting microorganisms into the contaminant plume and allowing them to consume the pollutant.,1
36,which form of remediation involves pumping a chemical into an aquifer to destroy a contaminant?,1
36,a problem with having to bring toxic materials to the surface to cleanse them is,1
36,which of these is a bioengineered microorganism?,0
36,what is the most expensive way to clean up a contaminated aquifer?,0
36,which of the following is true about a sleeve?,0
36,which of the following is a biological function of air pollution?,0
36,cleaning polluted groundwater is,0
36,"if a toxic chemical end up in the groundwater, the source may be",0
37,glaciers during the pleistocene,1
37,the most recent ice age was in the ____________ between __________ years ago.,1
37,the average global temperature during glacial periods was __________ less than current average global temperature.,1
37,the vikings colonized greenland during this period __________ and were forced out during this period __________.,1
37,the message of this concept is,1
37,the maximum extent of northern hemisphere glaciers during the,0
37,climate has been getting,0
37,the little ice age was during,0
37,"the high temperatures of the Medieval Warm Period, the lows of the Little Ice Age",0
37,the earths climate was,0
37,"during the medieval warm period,",0
37,the global average temperature has risen about,0
37,Changes in climate have had effects on human civilization.,0
37,which of the following is a way to get a picture of a sand,0
37,which of the following is true?,0
38,climate zones are,1
38,biomes are made up of _____________.,1
38,climate zones are classified by,1
38,microclimates have,1
38,which of the following is true about climate?,0
38,climate zones are found at similar latitudes and in similar positions on nearly all continents.,0
38,continental climates are found in most of the north american interior from about,0
38,microclimates are,0
38,"in the northern hemisphere, a south-facing slope receives more solar energy",0
38,which of the following is a way to get a picture of a sand,0
38,the southeastern u.s. is known for,0
38,Temperatures in the atlantic ocean are,0
39,what is coal made from?,1
39,"most coal in the united states, and worldwide, is this type",1
39,anthracite is this type of rock.,1
39,"coal mining exposes this element, which when mixed with air and water makes a highly corrosive chemical.",1
39,coal formed in ancient swamps especially during this period.,1
39,how does burning coal make electricity?,1
39,which of the following is a corrosive chemical?,0
39,the location of continents during the carboniferous period,0
39,coal is used in,0
39,coal mining,0
39,the united states is rich in,0
39,the wetlands in the southeastern u.s. were buried by,0
39,coal swamps were common in the tropics during the,0
39,coal mining occurs at the,0
39,coal releases energy as heat when it burns.,0
39,mining can be dangerous.,0
39,what is the process that generates electricity?,0
39,"when plants are buried without oxygen, the organic material can be preserved or fossilized.",0
40,"this contaminant gets washed from farms and yards into rivers, causing algae to grow.",1
40,___________ can become runoff that travels from the land to the ocean where it becomes a marine pollutant.,1
40,most ocean pollution comes from runoff while the remaining 20% of water pollution comes from __________.,1
40,fertilizers create dead zones when,1
40,rivers that drain regions where human population density is high and where crops are grown create dead zones all,0
40,the remaining 20% of water pollution enters the ocean from,0
40,Decomposition,0
40,harmful symptoms can occur when people come into contact with polluted waters.,0
40,Coastal runoff from farm waste often carries,0
40,a large proportion of the fish we rely on for food live in,0
40,most ocean pollution comes as runoff from,0
40,"Without oxygen, large numbers of",0
41,where do long-period comets come from?,1
41,where do short-period comets come from?,1
41,"in the early solar system, comets that struck earth may have brought in",1
41,comets may be visible with the naked eye,1
41,the kuiper belt is home to,1
41,comets,0
41,the time between one appearance of a comet and the next is called the,0
41,halleys comet,0
41,"early in earths history, comets may have brought",0
41,the comet of 1997,0
41,the first mention of the comet in historical records may go back as much as,0
41,which of the following is a way to get a picture of a sand,0
41,comet tails,0
41,which of these is true about the solar system?,0
41,a comet is formed when,0
42,which of these can conserve water in your home?,1
42,one complication with environmental issues is that,1
42,"at the earth summit in 2002, the plan was to cut in half the number of people without access to safe drinking water by",1
42,careful water use can be encouraged by,1
42,which of the following is a native cactus?,0
42,which of the following is a way to reduce personal demand?,0
42,"if the fda does not meet its goal,",0
42,goals like these are made more difficult as population,0
